tourney_id,tourney_name,surface,tourney_level,tourney_date
2013-451,Doha,Hard,A,2012-12-31
2013-301,Auckland,Hard,A,2013-01-07
2013-338,Sydney,Hard,A,2013-01-07
2013-580,Australian Open,Hard,G,2013-01-14
2013-D067,Davis Cup G1 R1: IND vs KOR,Hard,D,2013-02-01
2013-D068,Davis Cup G1 R1: JPN vs INA,Hard,D,2013-02-01
2013-D023,Davis Cup G1 R1: POL vs SLO,Hard,D,2013-02-01
2013-D024,Davis Cup G1 R1: ROU vs DEN,Hard,D,2013-02-01
2013-D065,Davis Cup G1 R1: TPE vs AUS,Hard,D,2013-02-01
2013-D025,Davis Cup G1 R1: UKR vs SVK,Hard,D,2013-02-01
2013-D016,Davis Cup G1 R1: URU vs DOM,Clay,D,2013-02-01
2013-D066,Davis Cup G1 R1: UZB vs CHN,Clay,D,2013-02-01
2013-D052,Davis Cup G2 R1: BIH vs LUX,Hard,D,2013-02-01
2013-D047,Davis Cup G2 R1: BUL vs FIN,Hard,D,2013-02-01
2013-D020,Davis Cup G2 R1: ESA vs BAR,Clay,D,2013-02-01
2013-D048,Davis Cup G2 R1: IRL vs EST,Hard,D,2013-02-01
2013-D032,Davis Cup G2 R1: KUW vs THA,Hard,D,2013-02-01
2013-D053,Davis Cup G2 R1: LTU vs CYP,Hard,D,2013-02-01
2013-D051,Davis Cup G2 R1: MDA vs HUN,Hard,D,2013-02-01
2013-D019,Davis Cup G2 R1: MEX vs PUR,Hard,D,2013-02-01
2013-D050,Davis Cup G2 R1: MON vs BLR,Clay,D,2013-02-01
2013-D030,Davis Cup G2 R1: NZL vs LIB,Hard,D,2013-02-01
2013-D022,Davis Cup G2 R1: PER vs HAI,Clay,D,2013-02-01
2013-D033,Davis Cup G2 R1: PHI vs SYR,Clay,D,2013-02-01
2013-D054,Davis Cup G2 R1: POR vs BEN,Clay,D,2013-02-01
2013-D031,Davis Cup G2 R1: SRI vs PAK,Clay,D,2013-02-01
2013-D049,Davis Cup G2 R1: TUN vs LAT,Hard,D,2013-02-01
2013-D021,Davis Cup G2 R1: VEN vs GUA,Hard,D,2013-02-01
2013-D006,Davis Cup WG R1: ARG vs GER,Clay,D,2013-02-01
2013-D003,Davis Cup WG R1: BEL vs SRB,Clay,D,2013-02-01
2013-D001,Davis Cup WG R1: CAN vs ESP,Hard,D,2013-02-01
2013-D005,Davis Cup WG R1: FRA vs ISR,Hard,D,2013-02-01
2013-D002,Davis Cup WG R1: ITA vs CRO,Clay,D,2013-02-01
2013-D007,Davis Cup WG R1: KAZ vs AUT,Clay,D,2013-02-01
2013-D008,Davis Cup WG R1: SUI vs CZE,Hard,D,2013-02-01
2013-D004,Davis Cup WG R1: USA vs BRA,Hard,D,2013-02-01
2013-375,Montpellier,Hard,A,2013-02-04
2013-505,Santiago,Clay,A,2013-02-04
2013-2276,Zagreb,Hard,A,2013-02-04
2013-407,Rotterdam,Hard,A,2013-02-11
2013-424,San Jose,Hard,A,2013-02-11
2013-533,Sao Paulo,Clay,A,2013-02-11
2013-506,Buenos Aires,Clay,A,2013-02-18
2013-496,Marseille,Hard,A,2013-02-18
2013-402,Memphis,Hard,A,2013-02-18
2013-807,Acapulco,Clay,A,2013-02-25
2013-499,Delray Beach,Hard,A,2013-02-25
2013-495,Dubai,Hard,A,2013-02-25
2013-404,Indian Wells Masters,Hard,M,2013-03-07
2013-403,Miami Masters,Hard,M,2013-03-20
2013-D071,Davis Cup G1 PO: CHN vs TPE,Hard,D,2013-04-05
2013-D072,Davis Cup G1 PO: IND vs INA,Hard,D,2013-04-05
2013-D018,Davis Cup G1 R2: COL vs URU,Hard,D,2013-04-05
2013-D017,Davis Cup G1 R2: ECU vs CHI,Hard,D,2013-04-05
2013-D026,Davis Cup G1 R2: GBR vs RUS,Hard,D,2013-04-05
2013-D070,Davis Cup G1 R2: JPN vs KOR,Hard,D,2013-04-05
2013-D027,Davis Cup G1 R2: POL vs RSA,Hard,D,2013-04-05
2013-D028,Davis Cup G1 R2: ROU vs NED,Hard,D,2013-04-05
2013-D029,Davis Cup G1 R2: UKR vs SWE,Hard,D,2013-04-05
2013-D069,Davis Cup G1 R2: UZB vs AUS,Clay,D,2013-04-05
2013-D043,Davis Cup G2 PO: BAR vs PUR,Hard,D,2013-04-05
2013-D061,Davis Cup G2 PO: BUL vs EST,Clay,D,2013-04-05
2013-D064,Davis Cup G2 PO: CYP vs BEN,Hard,D,2013-04-05
2013-D044,Davis Cup G2 PO: GUA vs HAI,Hard,D,2013-04-05
2013-D063,Davis Cup G2 PO: HUN vs LUX,Hard,D,2013-04-05
2013-D046,Davis Cup G2 PO: KUW vs SYR,Hard,D,2013-04-05
2013-D045,Davis Cup G2 PO: LIB vs SRI,Clay,D,2013-04-05
2013-D062,Davis Cup G2 PO: TUN vs BLR,Clay,D,2013-04-05
2013-D057,Davis Cup G2 R2: BIH vs MDA,Clay,D,2013-04-05
2013-D037,Davis Cup G2 R2: ESA vs MEX,Hard,D,2013-04-05
2013-D055,Davis Cup G2 R2: IRL vs FIN,Hard,D,2013-04-05
2013-D056,Davis Cup G2 R2: MON vs LAT,Clay,D,2013-04-05
2013-D034,Davis Cup G2 R2: PAK vs NZL,Grass,D,2013-04-05
2013-D038,Davis Cup G2 R2: PER vs VEN,Clay,D,2013-04-05
2013-D035,Davis Cup G2 R2: PHI vs THA,Clay,D,2013-04-05
2013-D058,Davis Cup G2 R2: POR vs LTU,Clay,D,2013-04-05
2013-D011,Davis Cup WG QF: ARG vs FRA,Clay,D,2013-04-05
2013-D009,Davis Cup WG QF: CAN vs ITA,Hard,D,2013-04-05
2013-D012,Davis Cup WG QF: KAZ vs CZE,Clay,D,2013-04-05
2013-D010,Davis Cup WG QF: USA vs SRB,Hard,D,2013-04-05
2013-360,Casablanca,Clay,A,2013-04-08
2013-717,Houston,Clay,A,2013-04-08
2013-410,Monte Carlo Masters,Clay,M,2013-04-14
2013-425,Barcelona,Clay,A,2013-04-22
2013-773,Bucharest,Clay,A,2013-04-22
2013-468,Estoril,Clay,A,2013-04-29
2013-308,Munich,Clay,A,2013-04-29
2013-1536,Madrid Masters,Clay,M,2013-05-05
2013-416,Rome Masters,Clay,M,2013-05-12
2013-6710,Dusseldorf,Clay,A,2013-05-19
2013-6120,Nice,Clay,A,2013-05-19
2013-520,Roland Garros,Clay,G,2013-05-27
2013-500,Halle,Grass,A,2013-06-10
2013-311,Queen's Club,Grass,A,2013-06-10
2013-440,s Hertogenbosch,Grass,A,2013-06-16
2013-741,Eastbourne,Grass,A,2013-06-17
2013-540,Wimbledon,Grass,G,2013-06-24
2013-316,Bastad,Clay,A,2013-07-08
2013-315,Newport,Grass,A,2013-07-08
2013-321,Stuttgart,Clay,A,2013-07-08
2013-6718,Bogota,Hard,A,2013-07-15
2013-414,Hamburg,Clay,A,2013-07-15
2013-6116,Atlanta,Hard,A,2013-07-22
2013-314,Gstaad,Clay,A,2013-07-22
2013-439,Umag,Clay,A,2013-07-22
2013-319,Kitzbuhel,Clay,A,2013-07-28
2013-418,Washington,Hard,A,2013-07-29
2013-421,Canada Masters,Hard,M,2013-08-05
2013-422,Cincinnati Masters,Hard,M,2013-08-11
2013-6242,Winston-Salem,Hard,A,2013-08-18
2013-560,US Open,Hard,G,2013-08-26
2013-D080,Davis Cup WG PO: BEL vs ISR,Clay,D,2013-09-12
2013-D040,Davis Cup G1 PO: DOM vs CHI,Hard,D,2013-09-13
2013-D041,Davis Cup G1 PO: SLO vs RSA,Clay,D,2013-09-13
2013-D042,Davis Cup G1 PO: SVK vs SWE,Hard,D,2013-09-13
2013-D073,Davis Cup G1 PO: TPE vs INA,Hard,D,2013-09-13
2013-D039,Davis Cup G2 R3: ESA vs VEN,Hard,D,2013-09-13
2013-D059,Davis Cup G2 R3: LAT vs FIN,Hard,D,2013-09-13
2013-D060,Davis Cup G2 R3: MDA vs POR,Hard,D,2013-09-13
2013-D036,Davis Cup G2 R3: PHI vs NZL,Clay,D,2013-09-13
2013-D076,Davis Cup WG PO: CRO vs GBR,Clay,D,2013-09-13
2013-D074,Davis Cup WG PO: ESP vs UKR,Clay,D,2013-09-13
2013-D078,Davis Cup WG PO: GER vs BRA,Hard,D,2013-09-13
2013-D081,Davis Cup WG PO: JPN vs COL,Hard,D,2013-09-13
2013-D075,Davis Cup WG PO: NED vs AUT,Clay,D,2013-09-13
2013-D079,Davis Cup WG PO: POL vs AUS,Clay,D,2013-09-13
2013-D077,Davis Cup WG PO: SUI vs ECU,Hard,D,2013-09-13
2013-D014,Davis Cup WG SF: CZE vs ARG,Hard,D,2013-09-13
2013-D013,Davis Cup WG SF: SRB vs CAN,Clay,D,2013-09-13
2013-341,Metz,Hard,A,2013-09-16
2013-568,St. Petersburg,Hard,A,2013-09-16
2013-1720,Bangkok,Hard,A,2013-09-23
2013-6003,Kuala Lumpur,Hard,A,2013-09-23
2013-747,Beijing,Hard,A,2013-09-30
2013-329,Tokyo,Hard,A,2013-09-30
2013-5014,Shanghai Masters,Hard,M,2013-10-07
2013-438,Moscow,Hard,A,2013-10-14
2013-429,Stockholm,Hard,A,2013-10-14
2013-337,Vienna,Hard,A,2013-10-14
2013-328,Basel,Hard,A,2013-10-21
2013-573,Valencia,Hard,A,2013-10-21
2013-D082,Davis Cup G1 PO: RUS vs RSA,Hard,D,2013-10-25
2013-352,Paris Masters,Hard,M,2013-10-28
2013-605,Tour Finals,Hard,F,2013-11-04
2013-D015,Davis Cup WG F: SRB vs CZE,Hard,D,2013-11-15
2014-339,Brisbane,Hard,A,2013-12-29
2014-891,Chennai,Hard,A,2013-12-30
2014-451,Doha,Hard,A,2013-12-30
2014-301,Auckland,Hard,A,2014-01-06
2014-338,Sydney,Hard,A,2014-01-06
2014-580,Australian Open,Hard,G,2014-01-13
2014-D032,Davis Cup G1 R1: CHN vs NZL,Hard,D,2014-01-27
2014-D029,Davis Cup G1 R1: DOM vs URU,Hard,D,2014-01-31
2014-D028,Davis Cup G1 R1: ECU vs VEN,Clay,D,2014-01-31
2014-D033,Davis Cup G1 R1: IND vs TPE,Hard,D,2014-01-31
